17089,11,12,13,16,23,25,12,750483542,2,10000000,69,328347,314842050,2017-08-01
17088,07,09,18,22,23,29,06,702515540,10,6725767,406,53133,346380162,2017-07-30
17087,03,06,13,14,19,28,06,705056937,13,5785674,105,121592,316090948,2017-07-27
17086,03,05,06,13,20,22,07,741969095,5,7211165,73,189312,313250840,2017-07-25
17085,01,05,06,16,25,30,09,736565578,7,6315240,148,77759,340676888,2017-07-23
17084,01,05,11,20,22,24,02,746247204,9,7021235,98,232029,314750766,2017-07-20
17083,03,08,14,20,24,26,12,741221637,13,6005980,161,101535,305712986,2017-07-18
17082,14,18,21,25,28,29,10,770257854,9,6764976,120,165466,340327376,2017-07-16
17081,03,05,14,25,26,30,05,771574680,4,7764217,134,103142,311169340,2017-07-13
17080,01,12,16,20,22,24,08,761168290,10,6418690,103,172171,309113400,2017-07-11
17079,03,07,14,23,25,27,08,772154315,5,7420610,107,141390,338568770,2017-07-09
17078,05,07,18,19,22,24,16,763870919,7,7387529,160,130568,308678006,2017-07-06
17077,01,02,04,15,17,22,14,752910976,4,9715359,93,253513,310153396,2017-07-04
17076,01,04,08,09,14,15,13,721042021,7,7321488,115,176634,346391726,2017-07-02
17075,01,03,06,19,21,29,07,711353370,7,6363935,90,132604,320592160,2017-06-29
17074,02,06,16,23,30,31,02,720097616,16,6194147,548,43582,312167868,2017-06-27
17073,03,06,16,23,26,30,14,747555120,9,7099806,173,136548,347269730,2017-06-25
17072,06,11,14,23,26,30,02,740584900,11,6667226,94,243876,321195342,2017-06-22
17071,02,03,06,14,31,32,03,745151312,4,10000000,51,494080,322489468,2017-06-20
17070,01,06,14,22,25,26,12,709557056,4,9143511,92,225190,357559628,2017-06-18
17069,02,11,12,23,29,31,05,683978436,3,10000000,98,198460,326172358,2017-06-15
17068,02,06,10,22,30,31,15,655631053,7,8099564,102,265894,320912348,2017-06-13
17067,01,03,04,10,18,29,04,630964440,10,7036216,131,194295,356270498,2017-06-11
17066,01,04,06,17,19,26,03,624968496,8,7075823,103,201536,329821920,2017-06-08
17065,02,05,08,10,12,21,07,619300374,14,5907122,181,87705,320800086,2017-06-06
17064,02,10,16,22,24,28,15,654376180,5,9001480,158,158286,351655222,2017-06-04
17063,12,16,20,22,25,31,04,624355820,4,10000000,246,102608,307572084,2017-06-01
17062,01,07,22,24,26,31,10,588631018,2,10000000,50,413968,292747704,2017-05-30
17061,06,07,12,20,26,27,11,546535704,22,5719289,236,83815,327891234,2017-05-28
17060,05,10,13,24,26,31,04,613018696,4,9226054,113,186993,320553910,2017-05-25
17059,04,08,09,15,19,25,09,586532102,26,5191242,222,27997,306145516,2017-05-23
17058,01,09,13,22,28,32,11,702858272,8,7035961,111,183419,338794650,2017-05-21
17057,18,20,22,23,30,31,16,698067117,9,6821373,71,288597,314697362,2017-05-18
17056,13,14,18,19,21,28,06,697988120,8,7367832,184,128686,317424132,2017-05-16
17055,07,12,13,20,24,31,05,685895820,20,5718169,109,164717,342200872,2017-05-14
17054,02,03,09,23,28,33,08,746396522,2,10000000,73,227292,315730948,2017-05-11
17053,04,09,11,15,29,31,06,716619576,6,7534369,77,246854,316559816,2017-05-09
17052,07,08,18,24,29,31,07,704802480,5,8409592,182,117087,346847224,2017-05-07
17051,02,05,09,15,24,25,11,682920580,10,6175841,194,75762,315667040,2017-05-04
17050,10,12,20,24,27,29,07,700584945,5,8309640,64,323207,308163776,2017-05-02
17049,01,08,14,15,20,29,10,680077398,7,7636512,113,204154,326777700,2017-04-30
17048,05,08,09,14,15,19,07,664324529,11,5831308,107,106827,317465116,2017-04-27
17047,02,05,08,10,32,33,02,694177440,6,7801881,181,116100,313845556,2017-04-25
17046,04,13,14,23,26,32,10,677946402,6,7608231,95,205912,348845228,2017-04-23
17045,05,07,16,20,21,25,05,664910592,4,9399507,99,222197,320562564,2017-04-20
17044,08,16,19,21,31,32,06,636516015,15,6015002,81,234954,318935018,2017-04-18
17043,08,13,16,23,27,31,08,669647148,4,8333883,170,98055,348879160,2017-04-16
17042,01,02,04,07,10,23,04,652974432,8,7650480,69,384127,326995938,2017-04-13
17041,04,10,13,15,22,27,04,634663869,21,5832574,114,191711,322450520,2017-04-11
17040,15,19,23,28,29,33,04,691582671,13,5740931,82,146830,359413424,2017-04-09
17039,02,04,12,14,17,24,15,730094377,1,10000000,109,255711,330405710,2017-04-06
17038,01,04,08,13,24,27,05,656476865,5,8797176,191,124253,310673636,2017-04-04
17037,11,15,20,22,25,30,05,629265693,7,7634270,102,225979,346434206,2017-04-02
17036,01,02,05,10,24,27,15,613555992,4,10000000,134,212654,340257990,2017-03-30
17035,01,06,14,24,28,32,12,568068720,16,5671583,164,81900,342022594,2017-03-28
17034,04,07,08,19,32,33,13,618519064,8,7191847,146,150126,373962682,2017-03-26
17033,05,07,15,20,23,30,15,610298424,12,6829933,205,133897,346477046,2017-03-23
17032,05,08,15,24,27,31,11,609910623,63,5000000,284,6000,346410188,2017-03-21
17031,06,10,16,26,27,29,03,924910650,30,5458217,344,49951,377406752,2017-03-19
17030,01,07,09,20,23,30,02,1037107695,5,9250716,81,327987,350487064,2017-03-16
17029,02,15,21,23,25,30,10,1003660344,4,9172154,53,393599,343011048,2017-03-14
17028,07,08,12,13,22,30,09,977766651,9,6700085,152,125828,377657484,2017-03-12
17027,02,04,11,14,27,30,05,980689536,3,9954368,76,244458,344767540,2017-03-09
17026,03,10,12,19,27,30,08,954816000,30,5346265,385,33727,338217710,2017-03-07
17025,02,15,16,17,22,32,07,1076249141,11,6246929,176,97416,372684176,2017-03-05
17024,09,21,25,26,29,31,13,1093529538,6,8107050,120,194190,342020216,2017-03-02
17023,01,03,04,11,18,22,14,1072263213,3,10000000,108,223769,337872226,2017-02-28
17022,02,06,15,16,18,32,15,1029761908,4,10000000,63,452069,370988738,2017-02-26
17021,02,05,10,22,32,33,09,984320688,16,6097279,115,190831,329896520,2017-02-23
17020,04,08,10,12,31,33,10,1016040400,4,8928802,87,225793,321450250,2017-02-21
17019,04,06,08,12,23,25,08,992823572,4,8296217,111,148478,362828374,2017-02-19
17018,01,02,03,17,25,31,09,976565180,5,7041328,91,140201,332385048,2017-02-16
17017,03,07,08,10,22,23,12,973496920,5,7986377,120,155540,329086094,2017-02-14
17016,05,08,16,22,27,29,02,957434232,12,6237727,222,83630,349767606,2017-02-12
17015,01,08,09,14,17,32,01,976589244,4,9713530,101,233343,314977594,2017-02-09
17014,06,08,18,20,23,31,13,944740410,5,8280828,144,142397,307538720,2017-02-07
17013,08,11,28,29,31,33,06,924629020,10,6997500,99,252209,377878424,2017-02-05
17012,10,11,14,15,16,24,07,919697751,9,7016617,80,283586,329120186,2017-01-26
17011,10,11,12,23,26,29,16,914786466,11,6835064,229,110184,318019266,2017-01-24
17010,05,08,19,25,28,30,07,914275770,30,5251359,231,40805,350388682,2017-01-22
17009,02,06,08,09,15,29,14,1043538642,9,6976497,145,153348,318286702,2017-01-19
17008,07,13,15,27,28,29,13,1039620330,10,6455001,165,110227,318368112,2017-01-17
17007,02,04,05,24,26,33,15,1049607797,7,8376630,62,476540,358098002,2017-01-15
17006,02,04,08,26,29,33,08,1019607668,4,6946576,70,139041,327823184,2017-01-12
17005,06,11,12,22,23,30,05,1018195332,14,6083962,204,92986,328457210,2017-01-10
17004,05,13,17,26,27,30,07,1046462778,18,5946813,294,72460,361243290,2017-01-08
17003,01,04,08,15,27,32,16,1089595542,3,10000000,80,305874,328263696,2017-01-05
17002,15,19,23,24,25,32,03,1046185700,4,10000000,67,391374,333473696,2017-01-03
17001,09,11,14,20,25,26,15,1007519355,9,7522351,184,154219,376155592,2017-01-01
